img_id,target
train_0001.jpg,31
train_0002.jpg,39
train_0003.jpg,17
train_0004.jpg,37
train_0005.jpg,1
train_0006.jpg,49
train_0007.jpg,34
train_0008.jpg,20
train_0009.jpg,36
train_0010.jpg,43
train_0011.jpg,3
train_0012.jpg,39
train_0013.jpg,15
train_0014.jpg,6
train_0015.jpg,29
train_0016.jpg,22
train_0017.jpg,42
train_0018.jpg,43
train_0019.jpg,28
train_0020.jpg,6
train_0021.jpg,36
train_0022.jpg,7
train_0023.jpg,47
train_0024.jpg,12
train_0025.jpg,14
train_0026.jpg,28
train_0027.jpg,32
train_0028.jpg,9
train_0029.jpg,38
train_0030.jpg,43
train_0031.jpg,10
train_0032.jpg,1
train_0033.jpg,36
train_0034.jpg,48
train_0035.jpg,25
train_0036.jpg,22
train_0037.jpg,36
train_0038.jpg,2
train_0039.jpg,2
train_0040.jpg,48
train_0041.jpg,14
train_0042.jpg,6
train_0043.jpg,44
train_0044.jpg,7
train_0045.jpg,18
train_0046.jpg,22
train_0047.jpg,34
train_0048.jpg,17
train_0049.jpg,7
train_0050.jpg,26
train_0051.jpg,9
train_0052.jpg,15
train_0053.jpg,16
train_0054.jpg,39
train_0055.jpg,48
train_0056.jpg,2
train_0057.jpg,40
train_0058.jpg,8
train_0059.jpg,5
train_0060.jpg,48
train_0061.jpg,48
train_0062.jpg,10
train_0063.jpg,38
train_0064.jpg,32
train_0065.jpg,21
train_0066.jpg,49
train_0067.jpg,32
train_0068.jpg,7
train_0069.jpg,47
train_0070.jpg,43
train_0071.jpg,26
train_0072.jpg,24
train_0073.jpg,30
train_0074.jpg,31
train_0075.jpg,49
train_0076.jpg,40
train_0077.jpg,12
train_0078.jpg,6
train_0079.jpg,15
train_0080.jpg,3
train_0081.jpg,36
train_0082.jpg,24
train_0083.jpg,26
train_0084.jpg,13
train_0085.jpg,15
train_0086.jpg,0
train_0087.jpg,38
train_0088.jpg,23
train_0089.jpg,46
train_0090.jpg,48
train_0091.jpg,17
train_0092.jpg,16
